"Message",Low,"Build started."
"Message",Low,"Project ""Unnamed_1"" (default targets):"
"Message",Low,"Building with tools version ""4.0""."
"Message",Low,"Target ""PrintILCStartMessage"" in file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" from project ""C:\Users\charl\Documents\Visual Studio 2015\Projects\custom-cortana-commands-template\CustomCortanaCommands\Unnamed_1"" (target ""Build"" depends on it):"
"Message",Low,"Using ""IlcMessageTask"" task from assembly ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\ilc.exe""."
"Message",Low,"Task ""IlcMessageTask"""
"Message",High,"Starting .NET Native compilation"
"Message",Low,"Done executing task ""IlcMessageTask""."
"Message",Low,"Done building target ""PrintILCStartMessage"" in project ""Unnamed_1""."
"Message",Low,"Target ""LogAppContextSwitches"" in file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" from project ""C:\Users\charl\Documents\Visual Studio 2015\Projects\custom-cortana-commands-template\CustomCortanaCommands\Unnamed_1"" (target ""SetMainTargetPaths"" depends on it):"
"Message",Low,"Using ""Message"" task from assembly ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Task ""Message"""
"Message",Normal,"AppContextSwitch: ''"
"Message",Low,"Done executing task ""Message""."
"Message",Low,"Done building target ""LogAppContextSwitches"" in project ""Unnamed_1""."
"Message",Low,"Target ""SetMainTargetPaths"" in file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" from project ""C:\Users\charl\Documents\Visual Studio 2015\Projects\custom-cortana-commands-template\CustomCortanaCommands\Unnamed_1"" (target ""CopyNativeExecutablesToOutput"" depends on it):"
"Message",Low,"Done building target ""SetMainTargetPaths"" in project ""Unnamed_1""."
